year,transect,site,treat,plot,Source,plant,tbo,Ln.tot,Fr.tot,aveseed1,aveseed2,totgoodseed,totbadseed,plotID,subplotID
2011,HB,M,TR,10,M,2.5,0,18,7,8.666666667,NA,61,9.333333333,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,3.3,0,14,7,5.285714286,NA,37,13,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,3.4,0,18,9,4.5,NA,40,9,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,4.2,0,24,9,2.666666667,NA,24,24,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,4.4,0,14,5,6,NA,30,4,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,5.1,0,14,6,5.2,NA,31,0,HB.M.10,HB.M.10.M
2011,HB,M,TR,10,M,5.3,0,16,3,2,NA,6,4,HB.M.10,HB.M.10.M
2011,HB,M,TR,2,H,1.1,0,10,7,9.333333333,NA,65,2.333333333,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,1.2,0,11,12,9.285714286,NA,111,1.714285714,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,2.2,0,9,3,8.333333333,NA,25,0,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,2.5,0,10,10,10.5,NA,105,0,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,3.2,0,10,7,10.75,NA,75,0,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,3.4,0,12,13,12.42857143,10,159,0,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,4.3,0,12,9,10.5,NA,94,0,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,4.5,0,16,14,11.4,11,159,0,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,5.1,0,9,9,8.5,NA,76,0,HB.M.2,HB.M.2.H
2011,HB,M,TR,2,H,5.5,0,21,14,13,7,176,2.166666667,HB.M.2,HB.M.2.H
2011,HB,M,TR,3,H,1.1,0,12,7,9.428571429,NA,66,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,1.2,0,7,3,7.333333333,NA,22,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,1.3,0,7,3,4.333333333,NA,13,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,2.1,0,9,5,9,NA,45,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,2.4,0,8,2,10,NA,20,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,3.2,0,9,3,6.666666667,NA,20,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,3.3,0,9,3,10,NA,30,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,3.5,0,11,5,8,NA,40,1,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,4.2,0,10,6,8.666666667,NA,52,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,4.4,0,8,5,6.6,NA,33,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,H,5.2,0,7,2,7,NA,14,0,HB.M.3,HB.M.3.H
2011,HB,M,TR,3,L,2.2,0,17,2,8,NA,16,1.333333333,HB.M.3,HB.M.3.L
2011,HB,M,TR,3,L,2.3,0,16,1,4,NA,4,0,HB.M.3,HB.M.3.L
2011,HB,M,TR,3,M,1.1,0,41,3,10.75,NA,32,0.75,HB.M.3,HB.M.3.M
2011,HB,M,TR,3,M,3.1,0,16,3,11.5,NA,34,0,HB.M.3,HB.M.3.M
2011,HB,M,TR,3,M,3.3,0,16,4,3.5,NA,14,0,HB.M.3,HB.M.3.M
2011,HB,M,TR,4,H,5.4,0,11,4,6,NA,24,0,HB.M.4,HB.M.4.H
2011,HB,M,TR,4,L,1.1,0,15,3,1.5,NA,4,0,HB.M.4,HB.M.4.L
2011,HB,M,TR,4,L,1.2,0,33,6,2.333333333,NA,14,0,HB.M.4,HB.M.4.L
2011,HB,M,TR,4,M,1.4,0,32,4,2,NA,8,0,HB.M.4,HB.M.4.M
2011,HB,M,TR,4,M,2.1,0,15,3,2.333333333,NA,7,0,HB.M.4,HB.M.4.M
2011,HB,M,TR,4,M,2.4,0,15,2,5,NA,10,0,HB.M.4,HB.M.4.M
2011,HB,M,TR,4,M,3.4,0,14,7,11.71428571,NA,82,0,HB.M.4,HB.M.4.M
2011,HB,M,TR,5,H,1.1,0,15,5,7,NA,35,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,1.2,0,10,2,1.5,NA,3,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,1.3,0,11,4,3.5,NA,14,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,2.1,0,17,11,7.1,NA,78,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,2.2,0,12,4,1.75,NA,7,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,2.3,0,12,11,5.666666667,NA,62,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,3.1,0,12,11,9.25,NA,102,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,3.3,0,11,8,11,NA,88,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,3.4,0,10,6,4.666666667,NA,28,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,3.5,0,10,4,5.333333333,NA,21,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,4.2,0,11,6,7.5,NA,45,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,4.3,0,10,5,3.75,NA,19,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,5.3,0,11,6,5,NA,30,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,H,5.4,0,12,9,5.666666667,NA,51,0,HB.M.5,HB.M.5.H
2011,HB,M,TR,5,M,3.1,0,15,5,0.8,NA,4,0,HB.M.5,HB.M.5.M
2011,HB,M,TR,6,H,1.5,0,10,5,1,NA,5,0,HB.M.6,HB.M.6.H
2011,HB,M,TR,6,M,3.5,0,12,4,1.5,NA,6,0,HB.M.6,HB.M.6.M
2011,HB,M,TR,6,M,4.2,0,13,2,7,NA,14,0,HB.M.6,HB.M.6.M
2011,HB,M,TR,6,M,5.1,0,13,1,7,NA,7,0,HB.M.6,HB.M.6.M
2011,HB,M,TR,7,L,5.1,0,14,5,5.333333333,NA,27,11.66666667,HB.M.7,HB.M.7.L
2011,HB,M,TR,7,M,3.1,0,23,18,6.8,3.666666667,113,17,HB.M.7,HB.M.7.M
2011,HB,M,TR,8,H,2.4,0,10,3,12.66666667,NA,38,0,HB.M.8,HB.M.8.H
2011,HB,M,TR,8,H,3.1,0,18,12,13,9.75,150,20,HB.M.8,HB.M.8.H
2011,HB,M,TR,8,L,1.4,0,35,2,0.285714286,NA,1,3.142857143,HB.M.8,HB.M.8.L
2011,HB,M,TR,8,L,3.4,0,51,17,7.833333333,0,86,11.25,HB.M.8,HB.M.8.L
2011,HB,M,TR,8,L,4.4,0,20,5,3.375,NA,17,17.5,HB.M.8,HB.M.8.L
2011,HB,M,TR,8,L,4.5,0,16,3,1.666666667,NA,5,3,HB.M.8,HB.M.8.L
2011,HB,M,TR,8,L,5.2,0,19,2,1,NA,2,12.5,HB.M.8,HB.M.8.L
2011,HB,M,TR,8,M,1.1,0,20,10,6.666666667,NA,67,3.333333333,HB.M.8,HB.M.8.M
2011,HB,M,TR,8,M,1.2,0,32,15,10.5,1.6,113,5,HB.M.8,HB.M.8.M
2011,HB,M,TR,8,M,1.3,0,33,17,12,4.714285714,153,0,HB.M.8,HB.M.8.M
2011,HB,M,TR,8,M,1.4,1,7,7,13,0.428571429,3,9,HB.M.8,HB.M.8.M
2011,HB,M,TR,8,M,1.5,0,27,15,4.818181818,0,53,40,HB.M.8,HB.M.8.M
