transect,site,yrplanted,plot,Source,year,yrEm,treat,nseed.orig,nseed.rem,nEm,nFlwr,nR,avLn1new,avJnew,excl.str
NK,HE,2011,16,M,2013,2,dormant,25,24,5,3,3,4.4,190.6,keep
NK,HE,2011,16,H,2013,2,dormant,25,21,4,0,0,2,169,keep
NK,HE,2011,17,L,2013,2,dormant,25,19,3,2,2,3.666666667,187.3333333,keep
NK,HE,2011,17,L,2014,3,dormant,25,16,1,0,0,0,173,excl
NK,HE,2011,17,L,2015,4,dormant,25,15,0,NA,NA,NA,NA,excl
NK,HE,2011,17,M,2013,2,dormant,25,13,2,2,0,1,169,keep
NK,HE,2011,17,M,2014,3,dormant,25,11,2,2,0,2,181.5,keep
NK,HE,2011,17,M,2015,4,dormant,25,9,0,NA,NA,NA,NA,keep
NK,HE,2011,17,H,2013,2,dormant,25,12,5,1,0,1.4,173,excl
NK,HE,2011,17,H,2014,3,dormant,25,7,1,1,0,5,190,excl
NK,HE,2011,17,H,2015,4,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2011,17,E,2013,2,dormant,25,20,5,5,5,1.2,169,keep
NK,HE,2011,17,E,2014,3,dormant,25,15,4,0,0,1.75,177.25,keep
NK,HE,2011,17,E,2015,4,dormant,25,11,0,NA,NA,NA,NA,keep
NK,HE,2011,17,F,2013,2,dormant,25,13,7,2,2,1.571428571,174.7142857,keep
NK,HE,2011,17,F,2014,3,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2011,17,F,2015,4,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2011,17,MT,2013,2,dormant,25,13,2,1,1,2,174,excl
NK,HE,2011,17,MT,2014,3,dormant,25,11,0,NA,NA,NA,NA,excl
NK,HE,2011,17,MT,2015,4,dormant,25,11,0,NA,NA,NA,NA,excl
NK,HE,2011,18,M,2013,2,dormant,25,16,2,1,1,1.5,169,keep
NK,HE,2011,18,H,2013,2,dormant,25,16,4,2,2,3.25,185.25,keep
NK,HE,2011,19,L,2013,2,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2011,19,L,2014,3,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2011,19,L,2015,4,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2011,19,M,2013,2,dormant,25,23,7,5,2,3.285714286,176.2857143,keep
NK,HE,2011,19,M,2014,3,dormant,25,16,0,NA,NA,NA,NA,keep
NK,HE,2011,19,M,2015,4,dormant,25,16,0,NA,NA,NA,NA,keep
NK,HE,2011,19,H,2013,2,dormant,25,7,0,NA,NA,NA,NA,excl
NK,HE,2011,19,H,2014,3,dormant,25,7,0,NA,NA,NA,NA,excl
NK,HE,2011,19,H,2015,4,dormant,25,7,0,NA,NA,NA,NA,excl
NK,HE,2011,19,E,2013,2,dormant,25,23,2,1,0,2,168,keep
NK,HE,2011,19,E,2014,3,dormant,25,21,1,1,NA,2,173,keep
NK,HE,2011,19,E,2015,4,dormant,25,20,0,NA,NA,NA,NA,keep
NK,HE,2011,19,F,2013,2,dormant,25,7,1,0,0,1,168,excl
NK,HE,2011,19,F,2014,3,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2011,19,F,2015,4,dormant,25,6,0,NA,NA,NA,NA,excl
NK,HE,2011,19,MT,2013,2,dormant,25,24,3,2,0,2,179,excl
NK,HE,2011,19,MT,2014,3,dormant,25,21,1,0,0,1,173,excl
NK,HE,2011,19,MT,2015,4,dormant,25,20,0,NA,NA,NA,NA,excl
NK,HE,2011,20,M,2013,2,dormant,25,14,0,NA,NA,NA,NA,keep
NK,HE,2011,20,H,2013,2,dormant,25,22,0,NA,NA,NA,NA,keep
NK,HE,2011,21,L,2013,2,dormant,25,15,4,2,2,1,168,keep
NK,HE,2011,21,L,2014,3,dormant,25,11,0,NA,NA,NA,NA,keep
NK,HE,2011,21,L,2015,4,dormant,25,11,0,NA,NA,NA,NA,keep
NK,HE,2011,21,M,2013,2,dormant,25,21,1,1,0,1,168,excl
NK,HE,2011,21,M,2014,3,dormant,25,20,0,NA,NA,NA,NA,excl
NK,HE,2011,21,M,2015,4,dormant,25,20,2,NA,NA,NA,200,excl
NK,HE,2011,21,H,2013,2,dormant,25,12,1,0,0,1,168,excl
NK,HE,2011,21,H,2014,3,dormant,25,11,0,NA,NA,NA,NA,excl
NK,HE,2011,21,H,2015,4,dormant,25,11,0,NA,NA,NA,NA,excl
NK,HE,2011,21,E,2013,2,dormant,25,25,1,0,0,1,168,keep
NK,HE,2011,21,E,2014,3,dormant,25,24,1,0,0,0,173,keep
NK,HE,2011,21,E,2015,4,dormant,25,23,0,NA,NA,NA,NA,keep
NK,HE,2011,21,F,2013,2,dormant,25,21,2,1,1,2.5,182.5,excl
NK,HE,2011,21,F,2014,3,dormant,25,19,0,NA,NA,NA,NA,excl
NK,HE,2011,21,F,2015,4,dormant,25,19,0,NA,NA,NA,NA,excl
NK,HE,2011,21,MT,2013,2,dormant,25,17,1,0,0,1,168,excl
NK,HE,2011,21,MT,2014,3,dormant,25,16,1,0,0,1,173,excl
NK,HE,2011,21,MT,2015,4,dormant,25,15,2,NA,NA,NA,200,excl
NK,HE,2011,22,M,2013,2,dormant,25,19,3,2,2,0.666666667,168,keep
NK,HE,2011,22,H,2013,2,dormant,25,17,0,NA,NA,NA,NA,keep
NK,HE,2011,23,L,2013,2,dormant,25,13,1,1,1,1,168,keep
NK,HE,2011,23,L,2014,3,dormant,25,12,2,0,0,3,190,keep
NK,HE,2011,23,L,2015,4,dormant,25,10,0,NA,NA,NA,NA,keep
NK,HE,2011,23,M,2013,2,dormant,25,14,2,0,0,1,168,keep
NK,HE,2011,23,M,2014,3,dormant,25,12,0,NA,NA,NA,NA,keep
NK,HE,2011,23,M,2015,4,dormant,25,12,0,NA,NA,NA,NA,keep
NK,HE,2011,23,H,2013,2,dormant,25,21,1,1,1,3,179,keep
NK,HE,2011,23,H,2014,3,dormant,25,20,0,NA,NA,NA,NA,excl
NK,HE,2011,23,H,2015,4,dormant,25,20,0,NA,NA,NA,NA,excl
